seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,70695360.0,70705174.0,.,+,.,ID=gene:TraesCS1A02G084500;biotype=protein_coding;gene_id=TraesCS1A02G084500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,71075742.0,71076608.0,.,-,.,ID=gene:TraesCS1A02G084900;biotype=protein_coding;gene_id=TraesCS1A02G084900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,71087176.0,71095753.0,.,-,.,ID=gene:TraesCS1A02G085000;biotype=protein_coding;description=Replication protein A subunit [Source:UniProtKB/TrEMBL%3BAcc:A0A341NJL4];gene_id=TraesCS1A02G085000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,71444521.0,71445104.0,.,-,.,ID=gene:TraesCS1A02G085300;biotype=protein_coding;gene_id=TraesCS1A02G085300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,71548289.0,71548949.0,.,-,.,ID=gene:TraesCS1A02G085400;biotype=protein_coding;gene_id=TraesCS1A02G085400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,71558243.0,71561228.0,.,-,.,ID=gene:TraesCS1A02G085500;biotype=protein_coding;gene_id=TraesCS1A02G085500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,71689760.0,71695155.0,.,+,.,ID=gene:TraesCS1A02G085600;biotype=protein_coding;gene_id=TraesCS1A02G085600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,71723319.0,71725161.0,.,-,.,ID=gene:TraesCS1A02G085700;biotype=protein_coding;gene_id=TraesCS1A02G085700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,71786598.0,71790263.0,.,-,.,ID=gene:TraesCS1A02G085900;biotype=protein_coding;gene_id=TraesCS1A02G085900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,72782626.0,72785888.0,.,-,.,ID=gene:TraesCS1A02G086100;biotype=protein_coding;description=Carboxypeptidase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S4B1];gene_id=TraesCS1A02G086100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,72785992.0,72791062.0,.,-,.,ID=gene:TraesCS1A02G086200;biotype=protein_coding;gene_id=TraesCS1A02G086200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,73295476.0,73300550.0,.,+,.,ID=gene:TraesCS1A02G086500;biotype=protein_coding;description=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL%3BAcc:W4ZYA7];gene_id=TraesCS1A02G086500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,73302087.0,73306610.0,.,+,.,ID=gene:TraesCS1A02G086600;biotype=protein_coding;description=Ribosome biogenesis protein NOP53 [Source:UniProtKB/TrEMBL%3BAcc:A0A341NH08];gene_id=TraesCS1A02G086600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,73312930.0,73322282.0,.,-,.,ID=gene:TraesCS1A02G086800;biotype=protein_coding;gene_id=TraesCS1A02G086800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,73322508.0,73330054.0,.,+,.,ID=gene:TraesCS1A02G086900;biotype=protein_coding;gene_id=TraesCS1A02G086900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,74431375.0,74444306.0,.,-,.,ID=gene:TraesCS1A02G087500;biotype=protein_coding;description=Alpha-mannosidase [Source:UniProtKB/TrEMBL%3BAcc:A0A341NJP7];gene_id=TraesCS1A02G087500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,75715901.0,75722755.0,.,-,.,ID=gene:TraesCS1A02G087900;biotype=protein_coding;gene_id=TraesCS1A02G087900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,76022646.0,76031768.0,.,+,.,ID=gene:TraesCS1A02G088000;biotype=protein_coding;description=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL%3BAcc:A0A341NHX2];gene_id=TraesCS1A02G088000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,76485956.0,76492268.0,.,-,.,ID=gene:TraesCS1A02G088100;biotype=protein_coding;description=Zinc finger%2C RING/FYVE/PHD-type domain containing protein [Source: Projected from Oryza sativa (Os07g0446100)];gene_id=TraesCS1A02G088100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,76495320.0,76501435.0,.,-,.,ID=gene:TraesCS1A02G088200;biotype=protein_coding;description=UVH6 [Source:Projected from Arabidopsis thaliana (AT1G03190) UniProtKB/TrEMBL%3BAcc:A0A178W4P7];gene_id=TraesCS1A02G088200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,77069781.0,77072982.0,.,+,.,ID=gene:TraesCS1A02G088600;biotype=protein_coding;gene_id=TraesCS1A02G088600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,77096838.0,77099287.0,.,+,.,ID=gene:TraesCS1A02G088800;biotype=protein_coding;gene_id=TraesCS1A02G088800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,77103810.0,77107960.0,.,+,.,ID=gene:TraesCS1A02G088900;biotype=protein_coding;gene_id=TraesCS1A02G088900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,78323461.0,78331744.0,.,+,.,ID=gene:TraesCS1A02G089100;biotype=protein_coding;gene_id=TraesCS1A02G089100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,78543153.0,78548310.0,.,+,.,ID=gene:TraesCS1A02G089300;biotype=protein_coding;gene_id=TraesCS1A02G089300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,78962470.0,78964533.0,.,-,.,ID=gene:TraesCS1A02G089500;biotype=protein_coding;gene_id=TraesCS1A02G089500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,79167082.0,79169605.0,.,+,.,ID=gene:TraesCS1A02G089800;biotype=protein_coding;gene_id=TraesCS1A02G089800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,79688776.0,79694804.0,.,-,.,ID=gene:TraesCS1A02G089900;biotype=protein_coding;gene_id=TraesCS1A02G089900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,79697670.0,79705374.0,.,-,.,ID=gene:TraesCS1A02G090000;biotype=protein_coding;gene_id=TraesCS1A02G090000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,80190104.0,80195903.0,.,+,.,ID=gene:TraesCS1A02G090100;biotype=protein_coding;gene_id=TraesCS1A02G090100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,80297144.0,80309314.0,.,+,.,ID=gene:TraesCS1A02G090300;biotype=protein_coding;description=AtAPC7 [Source:Projected from Arabidopsis thaliana (AT2G39090) UniProtKB/TrEMBL%3BAcc:A0A178VSZ9];gene_id=TraesCS1A02G090300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,80683274.0,80687060.0,.,-,.,ID=gene:TraesCS1A02G090600;biotype=protein_coding;description=Pyridoxal phosphate homeostasis protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S534];gene_id=TraesCS1A02G090600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,82127357.0,82129287.0,.,-,.,ID=gene:TraesCS1A02G091000;biotype=protein_coding;gene_id=TraesCS1A02G091000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,82517368.0,82528033.0,.,+,.,ID=gene:TraesCS1A02G091100;biotype=protein_coding;description=Chromatin-remodeling complex ATPase [Source:UniProtKB/TrEMBL%3BAcc:A0A341NJR8];gene_id=TraesCS1A02G091100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,82530925.0,82535170.0,.,-,.,ID=gene:TraesCS1A02G091200;biotype=protein_coding;gene_id=TraesCS1A02G091200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,82947327.0,82952587.0,.,-,.,ID=gene:TraesCS1A02G091300;biotype=protein_coding;gene_id=TraesCS1A02G091300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,83822449.0,83835952.0,.,-,.,ID=gene:TraesCS1A02G091400;biotype=protein_coding;description=ATP-dependent DNA helicase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S2M9];gene_id=TraesCS1A02G091400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,84022445.0,84024415.0,.,+,.,ID=gene:TraesCS1A02G091600;biotype=protein_coding;gene_id=TraesCS1A02G091600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,84793974.0,84795298.0,.,-,.,ID=gene:TraesCS1A02G092200;biotype=protein_coding;gene_id=TraesCS1A02G092200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,85032415.0,85035322.0,.,+,.,ID=gene:TraesCS1A02G092700;biotype=protein_coding;gene_id=TraesCS1A02G092700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,85344049.0,85346466.0,.,-,.,ID=gene:TraesCS1A02G092900;biotype=protein_coding;description=40S ribosomal protein S4 [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5SLI4];gene_id=TraesCS1A02G092900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,86235469.0,86240447.0,.,+,.,ID=gene:TraesCS1A02G093300;biotype=protein_coding;gene_id=TraesCS1A02G093300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,86560549.0,86567303.0,.,+,.,ID=gene:TraesCS1A02G093400;biotype=protein_coding;gene_id=TraesCS1A02G093400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,86638820.0,86641089.0,.,-,.,ID=gene:TraesCS1A02G093800;biotype=protein_coding;gene_id=TraesCS1A02G093800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,86644142.0,86649260.0,.,-,.,ID=gene:TraesCS1A02G093900;biotype=protein_coding;gene_id=TraesCS1A02G093900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,87198152.0,87201062.0,.,+,.,ID=gene:TraesCS1A02G094000;biotype=protein_coding;gene_id=TraesCS1A02G094000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,88345837.0,88351710.0,.,+,.,ID=gene:TraesCS1A02G094200;biotype=protein_coding;description=Gelsolin family protein [Source: Projected from Oryza sativa (Os05g0153000)];gene_id=TraesCS1A02G094200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,90106135.0,90110560.0,.,+,.,ID=gene:TraesCS1A02G094700;biotype=protein_coding;gene_id=TraesCS1A02G094700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,90759665.0,90768599.0,.,-,.,ID=gene:TraesCS1A02G095000;biotype=protein_coding;description=Kinesin-like protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S218];gene_id=TraesCS1A02G095000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,91043144.0,91048307.0,.,+,.,ID=gene:TraesCS1A02G095100;biotype=protein_coding;gene_id=TraesCS1A02G095100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,91052073.0,91058907.0,.,+,.,ID=gene:TraesCS1A02G095200;biotype=protein_coding;description=Gamma-tubulin complex component [Source:UniProtKB/TrEMBL%3BAcc:A0A341NHB2];gene_id=TraesCS1A02G095200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,91158450.0,91162767.0,.,+,.,ID=gene:TraesCS1A02G095500;biotype=protein_coding;description=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL%3BAcc:W4ZVQ0];gene_id=TraesCS1A02G095500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,91498965.0,91502453.0,.,+,.,ID=gene:TraesCS1A02G096000;biotype=protein_coding;description=U1A [Source:Projected from Arabidopsis thaliana (AT2G47580) UniProtKB/TrEMBL%3BAcc:A0A178VZ67];gene_id=TraesCS1A02G096000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,91502767.0,91505217.0,.,-,.,ID=gene:TraesCS1A02G096100;biotype=protein_coding;gene_id=TraesCS1A02G096100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,91590457.0,91595995.0,.,-,.,ID=gene:TraesCS1A02G096200;biotype=protein_coding;gene_id=TraesCS1A02G096200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,92564927.0,92567805.0,.,+,.,ID=gene:TraesCS1A02G096500;biotype=protein_coding;description=Similar to 60S ribosomal protein L18 [Source: Projected from Oryza sativa (Os05g0155100)];gene_id=TraesCS1A02G096500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,92570552.0,92575558.0,.,-,.,ID=gene:TraesCS1A02G096600;biotype=protein_coding;gene_id=TraesCS1A02G096600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,93367123.0,93367842.0,.,+,.,ID=gene:TraesCS1A02G097000;biotype=protein_coding;gene_id=TraesCS1A02G097000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,93392091.0,93397887.0,.,-,.,ID=gene:TraesCS1A02G097100;biotype=protein_coding;gene_id=TraesCS1A02G097100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,93397630.0,93401378.0,.,+,.,ID=gene:TraesCS1A02G097200;biotype=protein_coding;gene_id=TraesCS1A02G097200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,93401939.0,93403931.0,.,-,.,ID=gene:TraesCS1A02G097300;biotype=protein_coding;gene_id=TraesCS1A02G097300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,93693503.0,93698187.0,.,-,.,ID=gene:TraesCS1A02G097400;biotype=protein_coding;description=Importin subunit alpha [Source:UniProtKB/TrEMBL%3BAcc:W5AA91];gene_id=TraesCS1A02G097400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,94101332.0,94106484.0,.,+,.,ID=gene:TraesCS1A02G097500;biotype=protein_coding;gene_id=TraesCS1A02G097500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,94109874.0,94114153.0,.,+,.,ID=gene:TraesCS1A02G097600;biotype=protein_coding;gene_id=TraesCS1A02G097600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,94244913.0,94249051.0,.,-,.,ID=gene:TraesCS1A02G097700;biotype=protein_coding;description=Protein disulfide isomerase family protein 4-1 [Source:UniProtKB/TrEMBL%3BAcc:D8L9B3];gene_id=TraesCS1A02G097700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,95183261.0,95185789.0,.,+,.,ID=gene:TraesCS1A02G099000;biotype=protein_coding;gene_id=TraesCS1A02G099000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,95820621.0,95826073.0,.,+,.,ID=gene:TraesCS1A02G099300;biotype=protein_coding;description=DnaJ protein ERDJ3B [Source:Projected from Arabidopsis thaliana (AT3G62600) UniProtKB/Swiss-Prot%3BAcc:Q9LZK5];gene_id=TraesCS1A02G099300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,95848238.0,95853644.0,.,-,.,ID=gene:TraesCS1A02G099400;biotype=protein_coding;gene_id=TraesCS1A02G099400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,95854753.0,95860989.0,.,-,.,ID=gene:TraesCS1A02G099500;biotype=protein_coding;description=Dihydrolipoyl dehydrogenase [Source:UniProtKB/TrEMBL%3BAcc:A0A341NT76];gene_id=TraesCS1A02G099500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,96364461.0,96365555.0,.,-,.,ID=gene:TraesCS1A02G099700;biotype=protein_coding;gene_id=TraesCS1A02G099700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,96438028.0,96439746.0,.,+,.,ID=gene:TraesCS1A02G099900;biotype=protein_coding;gene_id=TraesCS1A02G099900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,96449469.0,96451542.0,.,+,.,ID=gene:TraesCS1A02G100100;biotype=protein_coding;gene_id=TraesCS1A02G100100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,96453204.0,96455187.0,.,+,.,ID=gene:TraesCS1A02G100200;biotype=protein_coding;gene_id=TraesCS1A02G100200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,96462667.0,96465478.0,.,+,.,ID=gene:TraesCS1A02G100300;biotype=protein_coding;gene_id=TraesCS1A02G100300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,96470434.0,96473287.0,.,+,.,ID=gene:TraesCS1A02G100400;biotype=protein_coding;gene_id=TraesCS1A02G100400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,96480553.0,96489250.0,.,-,.,ID=gene:TraesCS1A02G100600;biotype=protein_coding;description=EMB3117 [Source:Projected from Arabidopsis thaliana (AT2G47940) UniProtKB/TrEMBL%3BAcc:A0A178VUR8];gene_id=TraesCS1A02G100600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,97792599.0,97796606.0,.,+,.,ID=gene:TraesCS1A02G101100;biotype=protein_coding;gene_id=TraesCS1A02G101100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,98019574.0,98021697.0,.,+,.,ID=gene:TraesCS1A02G101900;biotype=protein_coding;gene_id=TraesCS1A02G101900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,98242495.0,98247975.0,.,-,.,ID=gene:TraesCS1A02G102300;biotype=protein_coding;description=Na+/H+ antiporter [Source:UniProtKB/TrEMBL%3BAcc:Q94BM4];gene_id=TraesCS1A02G102300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,99001419.0,99010088.0,.,+,.,ID=gene:TraesCS1A02G102500;biotype=protein_coding;gene_id=TraesCS1A02G102500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,99014196.0,99018288.0,.,+,.,ID=gene:TraesCS1A02G102600;biotype=protein_coding;gene_id=TraesCS1A02G102600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,99071008.0,99072331.0,.,+,.,ID=gene:TraesCS1A02G102800;biotype=protein_coding;gene_id=TraesCS1A02G102800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,99892263.0,99906810.0,.,+,.,ID=gene:TraesCS1A02G104000;biotype=protein_coding;gene_id=TraesCS1A02G104000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,100039051.0,100040874.0,.,+,.,ID=gene:TraesCS1A02G104200;biotype=protein_coding;description=Peroxidase [Source:UniProtKB/TrEMBL%3BAcc:W4ZXX6];gene_id=TraesCS1A02G104200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,100267212.0,100272922.0,.,+,.,ID=gene:TraesCS1A02G104500;biotype=protein_coding;description=Replication protein A subunit [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S4C9];gene_id=TraesCS1A02G104500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,100289595.0,100291148.0,.,-,.,ID=gene:TraesCS1A02G104600;biotype=protein_coding;gene_id=TraesCS1A02G104600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,100291939.0,100297147.0,.,-,.,ID=gene:TraesCS1A02G104700;biotype=protein_coding;description=Elongator protein 2 [Source:Projected from Arabidopsis thaliana (AT1G49540) UniProtKB/TrEMBL%3BAcc:F4I1S8];gene_id=TraesCS1A02G104700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,101320830.0,101324110.0,.,+,.,ID=gene:TraesCS1A02G105300;biotype=protein_coding;gene_id=TraesCS1A02G105300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,101334864.0,101335739.0,.,-,.,ID=gene:TraesCS1A02G105400;biotype=protein_coding;gene_id=TraesCS1A02G105400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,101377424.0,101382058.0,.,-,.,ID=gene:TraesCS1A02G105500;biotype=protein_coding;description=Protein MAEA homolog [Source:Projected from Arabidopsis thaliana (AT3G55070) UniProtKB/Swiss-Prot%3BAcc:Q9M2V9];gene_id=TraesCS1A02G105500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,101763922.0,101767798.0,.,-,.,ID=gene:TraesCS1A02G105600;biotype=protein_coding;description=Dihydrolipoyl dehydrogenase [Source:UniProtKB/TrEMBL%3BAcc:W4ZUZ6];gene_id=TraesCS1A02G105600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,102164806.0,102170320.0,.,+,.,ID=gene:TraesCS1A02G105700;biotype=protein_coding;gene_id=TraesCS1A02G105700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,102359664.0,102365134.0,.,+,.,ID=gene:TraesCS1A02G105800;biotype=protein_coding;gene_id=TraesCS1A02G105800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,102366710.0,102370939.0,.,+,.,ID=gene:TraesCS1A02G105900;biotype=protein_coding;gene_id=TraesCS1A02G105900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,102371397.0,102375203.0,.,-,.,ID=gene:TraesCS1A02G106000;biotype=protein_coding;description=Golgi apparatus membrane protein TVP23 [Source:UniProtKB/TrEMBL%3BAcc:W5AJZ4];gene_id=TraesCS1A02G106000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,103311704.0,103326325.0,.,-,.,ID=gene:TraesCS1A02G106100;biotype=protein_coding;description=E3 ubiquitin-protein ligase UPL6 [Source:Projected from Arabidopsis thaliana (AT3G17205) UniProtKB/Swiss-Prot%3BAcc:Q8RWB8];gene_id=TraesCS1A02G106100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,104208687.0,104219859.0,.,+,.,ID=gene:TraesCS1A02G106300;biotype=protein_coding;description=DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL%3BAcc:A0A341NK83];gene_id=TraesCS1A02G106300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,104225642.0,104230111.0,.,+,.,ID=gene:TraesCS1A02G106500;biotype=protein_coding;gene_id=TraesCS1A02G106500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,104377540.0,104379785.0,.,+,.,ID=gene:TraesCS1A02G106600;biotype=protein_coding;description=USP family protein [Source:UniProtKB/TrEMBL%3BAcc:Q2TN84];gene_id=TraesCS1A02G106600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,104432549.0,104433415.0,.,-,.,ID=gene:TraesCS1A02G106700;biotype=protein_coding;gene_id=TraesCS1A02G106700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,104937224.0,104949835.0,.,-,.,ID=gene:TraesCS1A02G107300;biotype=protein_coding;gene_id=TraesCS1A02G107300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,105903502.0,105906285.0,.,-,.,ID=gene:TraesCS1A02G107600;biotype=protein_coding;gene_id=TraesCS1A02G107600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,106219615.0,106230486.0,.,-,.,ID=gene:TraesCS1A02G107800;biotype=protein_coding;gene_id=TraesCS1A02G107800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,107093815.0,107096344.0,.,+,.,ID=gene:TraesCS1A02G107900;biotype=protein_coding;gene_id=TraesCS1A02G107900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,107107556.0,107110090.0,.,-,.,ID=gene:TraesCS1A02G108100;biotype=protein_coding;gene_id=TraesCS1A02G108100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,107466471.0,107482160.0,.,+,.,ID=gene:TraesCS1A02G108300;biotype=protein_coding;gene_id=TraesCS1A02G108300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,108076850.0,108081795.0,.,-,.,ID=gene:TraesCS1A02G108900;biotype=protein_coding;gene_id=TraesCS1A02G108900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,108687044.0,108691586.0,.,+,.,ID=gene:TraesCS1A02G109200;biotype=protein_coding;gene_id=TraesCS1A02G109200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,108692883.0,108697532.0,.,-,.,ID=gene:TraesCS1A02G109300;biotype=protein_coding;gene_id=TraesCS1A02G109300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,108760477.0,108766530.0,.,-,.,ID=gene:TraesCS1A02G109400;biotype=protein_coding;gene_id=TraesCS1A02G109400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,108769536.0,108774492.0,.,+,.,ID=gene:TraesCS1A02G109500;biotype=protein_coding;gene_id=TraesCS1A02G109500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,108774424.0,108775742.0,.,-,.,ID=gene:TraesCS1A02G109600;biotype=protein_coding;gene_id=TraesCS1A02G109600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,109428845.0,109429628.0,.,-,.,ID=gene:TraesCS1A02G110100;biotype=protein_coding;gene_id=TraesCS1A02G110100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,109573740.0,109578560.0,.,+,.,ID=gene:TraesCS1A02G110200;biotype=protein_coding;gene_id=TraesCS1A02G110200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,109982664.0,109986523.0,.,-,.,ID=gene:TraesCS1A02G110300;biotype=protein_coding;gene_id=TraesCS1A02G110300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,110279386.0,110282081.0,.,+,.,ID=gene:TraesCS1A02G110700;biotype=protein_coding;gene_id=TraesCS1A02G110700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,111122761.0,111132907.0,.,+,.,ID=gene:TraesCS1A02G110900;biotype=protein_coding;gene_id=TraesCS1A02G110900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,111150791.0,111153945.0,.,-,.,ID=gene:TraesCS1A02G111000;biotype=protein_coding;description=Transition metal ion transporter%2C Ion transpor [Source: Projected from Oryza sativa (Os05g0164800)];gene_id=TraesCS1A02G111000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,111534404.0,111538376.0,.,+,.,ID=gene:TraesCS1A02G111100;biotype=protein_coding;gene_id=TraesCS1A02G111100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,112035816.0,112042777.0,.,-,.,ID=gene:TraesCS1A02G111300;biotype=protein_coding;gene_id=TraesCS1A02G111300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,112934976.0,112942003.0,.,+,.,ID=gene:TraesCS1A02G111600;biotype=protein_coding;gene_id=TraesCS1A02G111600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,113251084.0,113252461.0,.,-,.,ID=gene:TraesCS1A02G111800;biotype=protein_coding;gene_id=TraesCS1A02G111800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,113538203.0,113541509.0,.,-,.,ID=gene:TraesCS1A02G111900;biotype=protein_coding;gene_id=TraesCS1A02G111900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,113850568.0,113858254.0,.,+,.,ID=gene:TraesCS1A02G112000;biotype=protein_coding;gene_id=TraesCS1A02G112000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,113858147.0,113861587.0,.,-,.,ID=gene:TraesCS1A02G112100;biotype=protein_coding;gene_id=TraesCS1A02G112100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,113877741.0,113880731.0,.,-,.,ID=gene:TraesCS1A02G112200;biotype=protein_coding;gene_id=TraesCS1A02G112200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,114060494.0,114063211.0,.,-,.,ID=gene:TraesCS1A02G112400;biotype=protein_coding;description=Thioredoxin [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S567];gene_id=TraesCS1A02G112400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,114544596.0,114546676.0,.,+,.,ID=gene:TraesCS1A02G112500;biotype=protein_coding;gene_id=TraesCS1A02G112500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,114547942.0,114552217.0,.,+,.,ID=gene:TraesCS1A02G112600;biotype=protein_coding;gene_id=TraesCS1A02G112600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,115357679.0,115363324.0,.,+,.,ID=gene:TraesCS1A02G112700;biotype=protein_coding;description=Autophagy-related protein 18d [Source:UniProtKB/TrEMBL%3BAcc:U3PWS7];gene_id=TraesCS1A02G112700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,115364416.0,115368103.0,.,-,.,ID=gene:TraesCS1A02G112800;biotype=protein_coding;gene_id=TraesCS1A02G112800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,115939762.0,115940521.0,.,+,.,ID=gene:TraesCS1A02G113100;biotype=protein_coding;gene_id=TraesCS1A02G113100;logic_name=iwgsc_high_conf
